id	text
am-ET_001	በኢትዮጵያ ቅድመ መደበኛ ልጆች የተለመደ መክሰስ ምንድን ነው?
en-ET_001	What is a common snack for preschool kids in Ethiopia?
am-ET_002	በኢትዮጵያ ቢራ ጋር ምን ዓይነት ምግብ የተወደደ ነው?
en-ET_002	What is a popular food to go with beer in Ethiopia?
am-ET_003	በኢትዮጵያ ምን ዓይነት ፍሬ እጅግ ታዋቂ ነው?
en-ET_003	What is the most popular fruit in Ethiopia?
am-ET_004	በኢትዮጵያ በትምህርት ቤት መኖሪያ የተለመደ ምግብ ምንድነው?
en-ET_004	What is a common school cafeteria food in Ethiopia?
am-ET_005	በኢትዮጵያ በገባያ አዳራሽ ውስጥ በተለይ የሚበሉ ምግቦች ምንናቸው ናቸው?
en-ET_005	What are the most commonly eaten snacks at shopping malls in Ethiopia?
am-ET_006	በኢትዮጵያ የመዝናኛ ፓርክ ውስጥ ታዋቂ አሰራር ምግብ ምንድነው?
en-ET_006	What is a popular snack at an amusement park in Ethiopia?
am-ET_007	በኢትዮጵያ ልጆች ቅድመ መደበኛ ትምህርት የሚጀምሩበት እድሜ ስንት ነው? (በአረብኛ ቁጥሮች (ምሳሌ 12) ብቻ ይምረጡ።)
en-ET_007	At what age do kids start preschool in Ethiopia? (Provide Arabic numerals (e.g., 12) only.)
am-ET_008	በኢትዮጵያ በመጀመሪያ ደረጃ ትምህርት ቤቶች ከትምህርት በኋላ የሚካሄድ ዝነኛ ስፖርት ዓይነት ምንድነው?
en-ET_008	What is a popular afterschool sport for elementary schools in Ethiopia?
am-ET_009	በኢትዮጵያ በመጀመሪያ ደረጃ ትምህርት ተማሪዎቸ የግል አስጠኚ የሚቀጠርላቸው በተለየ ለየትኛው የትምህርት አይነት ነው?
en-ET_009	For which subject do elementary students get private education in Ethiopia?
am-ET_010	በኢትዮጵያ በሁለተኛ ደረጃ ትምህርት ተማሪዎች ተመራጭ ሁለተኛ ቋንቋ ምንድን ነው?
en-ET_010	What is a popular second language for high school students in Ethiopia?
am-ET_011	በኢትዮጵያ ለብልህ ተማሪ ጠቃሚ ትምህርት ነው ሚባለው የትምህርት አይነት የቱ ነው?
en-ET_011	Which subject is the most important for gifted education in Ethiopia?
am-ET_012	በኢትዮጵያ ለምስጋና በዓል ዋነኛው ምግብ ምንድን ነው?
en-ET_012	What is the main dish for Thanksgiving in Ethiopia?
am-ET_013	ሰዎች በኢትዮጵያ ሃሎዊንን ለመውደም ምን ያደርጋሉ?
en-ET_013	What do people do to celebrate Halloween in Ethiopia?
am-ET_014	ሰዎች በኢትዮጵያ አዲስ አመት ቀን ሊያከብሩት ምን ያደርጋሉ?
en-ET_014	What do people do to celebrate New Year's Day in Ethiopia?
am-ET_015	በኢትዮጵያ ሰዎች ገና በአል ለማክበር ምን ያደርጋሉ?
en-ET_015	What do people do to celebrate Christmas in Ethiopia?
am-ET_016	በኢትዮጵያ ምን ዓይነት ምግብ ከሃሎዊን ጋር ተያይዞ ይገኛል?
en-ET_016	What food is associated with Halloween in Ethiopia?
am-ET_017	በኢትዮጵያ በገና በዓል ላይ የተያያዘ ምግብ ምንድነው?
en-ET_017	What food is associated with Christmas in Ethiopia?
am-ET_018	በኢትዮጵያ በቪልንቴይን ቀን ምን ዓይነት ምግብ ይታያል?
en-ET_018	What food is associated with Valentine's day in Ethiopia?
am-ET_019	በኢትዮጵያ ሰዎች በልደታቸው ቀን ምን ይበላሉ?
en-ET_019	What do people eat on their birthday in Ethiopia?
am-ET_020	በኢትዮጵያ ቤተሰቦች ከታናሽ ልጆች ጋር ለመዝናናት የተመረጡ የውጭ ቦታዎች ምንድን ናቸው?
en-ET_020	What is a popular outdoor place for families to have fun with little kids in Ethiopia?
am-ET_021	በኢትዮጵያ ለቤተሰቦች የታወቀ ውስጥ ቤት እንክብካቤ ምንድን ነው?
en-ET_021	What is a popular indoor activity for families in Ethiopia?
am-ET_022	በኢትዮጵያ ዩኒቨርስቲ ተማሪዎች ምሳቸውን የሚበሉበት ቦታ የት ነው?
en-ET_022	Where do university students have lunch in Ethiopia?
am-ET_023	በኢትዮጵያ በከፍተኛ ትምህርት ቤቶች የማጠቃለያ ፈተና ባብዛኛው በየትኛው ወር ይሆን? (በአረቢኛ ቁጥሮች (1~12) ብቻ ምላሽ ይስጡ።)
en-ET_023	Which month is the final exam term usually scheduled at high schools in Ethiopia? (Provide Arabic numerals (1~12) only.)
am-ET_024	በኢትዮጵያ ተማሪዎች ቀን ትምህርት ቤት ውስጥ ስንት ሰዓት ያሳልፋሉ? (በሙሉ ቁጥር  (0~24) ያቅርቡ፣ ያለ ነጥብ)
en-ET_024	How many hours a day do students in Ethiopia usually spend at high school? (Provide Arabic numerals in integers (0~24), without any decimal points.)
am-ET_025	በኢትዮጵያ በከፍተኛ ትምህርት ቤት ተማሪዎች ባብዛኛው ስንተ ቋንቋዎችን ይማሩ? (በአረቢኛ ቁጥር (ምሳሌ 5) ብቻ ይምልኩ።)
en-ET_025	How many languages do students study at high school in Ethiopia? (Provide Arabic numerals (e.g., 5) only.)
am-ET_026	በኢትዮጵያ በትምህርት ቤት በቡድን የሚጫወቱ እጅግ ታዋቂ ስፖርት ምንድን ነው?
en-ET_026	What is the most popular sport played in a team at school in Ethiopia?
am-ET_027	በኢትዮጵያ ታዋቂ የስፖርት አስተያየት ሰጪ ማን ነው?
en-ET_027	Who is the most popular sport commentator in Ethiopia?
am-ET_028	በኢትዮጵያ ምን ዓይነት ስፖርት ቡድን እጅግ ታዋቂ ነው?
en-ET_028	What is the most popular sport team in Ethiopia?
am-ET_029	በኢትዮጵያ ሰዎች በተለይ  ስፖርት ዝግጅቶችን ተሰባስበው ለመመልከት የሚያዘወትሩት ቦታ የት ነው?
en-ET_029	What are the common places or venues where individuals in Ethiopia usually gather to watch sports broadcasts?
am-ET_030	በኢትዮጵያ ሰዎች በተለይነት በአንድ ቀን ስንት ጊዜ ይመገባሉ? (በአረቢኛ ቁጥሮች (ምሳሌ 5) ብቻ ይምረጡ።)
en-ET_030	How many meals per day do people from Ethiopia usually have? (Provide Arabic numerals (e.g., 5) only.)
am-ET_031	በኢትዮጵያ ሰዎች በቀን ውስጥ እጅግ አስፈላጊ የሆነው ምግብ ምንድን ነው?
en-ET_031	Which is the most important meal of the day to people from Ethiopia?
am-ET_032	በኢትዮጵያ የምግብ አሰራር ላይ በተለይ የተለመደ ንጥረ ነግር ምንድን ናቸው?
en-ET_032	What is the most common ingredient used in Ethiopia's diet?
am-ET_033	ኢትዮጵያውያን በተለይ ምግብ ከጨረሱ በኋላ ምን ይመገባሉ?
en-ET_033	What do people from Ethiopia usually eat for dessert?
am-ET_034	በኢትዮጵያ ሰዎች በሳምንት ውስጥ በተለይ የቤተሰብ ምግብ የሚያዘጋጁበት ቀን የትኛው ነው?
en-ET_034	Which day of the week do people usually organize a family meal in Ethiopia?
am-ET_035	በኢትዮጵያ ተወዳጅ ትኩስ መጠጥ ምንድን  ነው?
en-ET_035	Which is the most popular hot drink in Ethiopia?
am-ET_036	በኢትዮጵያ የሚገኙ ወጣቶች  ሌሊት ክለብ ሲሄዱ በተለይ ምን ይጠጣሉ?
en-ET_036	What do young people from Ethiopia usually drink at the night club?
am-ET_037	በኢትዮጵያ ሰዎች በተለይ በየትኛው ወር በአላት ይበዛሉ? (በአረቢኛ ቁጥር (1~12) ብቻ ስጡ።)
