id,text,political,racial/ethnic,religious,gender/sexual,other
hau_984c8f5f3fbad7077a5bcec4d736e43e,"@USER see u, fulani ka raina kenan? to a garin arna akai ai",0,1,1,0,0
hau_f71702645be0a6248ae12e199a024d06,this is arne mai shocking. ##url,0,0,1,0,0
hau_5544b69a4d7c14cde21f979e5006e081,amma kanajin na yarbawa da inyamurai dai koh. ##url,0,1,0,0,0
hau_3594f83a67ffc8b8f1fcfd0468de37a4,anci inyamurai amma dan lagos red card 🤣 ##url,0,1,0,0,0
hau_7abd26834382ba1c96e6ecd6cb1f39c0,duk laifin ku ne: ai ba ku taimaki buhari ba inji ngige ga inyamurai ##url ##url,1,1,0,0,0
hau_a45da892e4f2b0e75b42265be25e0474,@USER ai dakiki ne,0,0,0,0,1
hau_dfddc8bccb319f170d031f1cb4a9d0f7,@USER kawai dammu ba original barayi bane,0,0,0,0,1
hau_f71eed4d8a4a9988b488678f0d5f2664,wallhi so painful 😣 kana ji kana gani babban mutun ya zauna ya sharara maka karya ko kunya bbu ynxu ##url,0,0,0,0,0
hau_47d4437bffdad52a33ce793d49e60047,yar shi'a ce. ##url,0,0,1,0,0
hau_9ee5de8c258b298ef86744d511e33afd,"kodus to my iron governor, i think with the effort of mallam @USER who always keep hope in youth people, i trust him, he will ensure that the almajiri system is well sustainable toward ensure that each &amp; every child has right to education and well being. @USER ##url",1,0,0,0,0
hau_959669a428c303e045312edc73495415,@USER yarinyar doluwa ce ta karshe😂,0,0,0,0,1
hau_f314597b385b320853249b570075d39f,@USER shikenan karya takare😂🤣,0,0,0,0,1
hau_3f548414f76eb3feb4e5c171f67fab43,@USER kuna ta wani cewa ruwa sai kace wasu yan daudu😬 haba!,0,0,0,1,0
hau_27d7cb25105c0f9acc6ccf64c29f013b,"dan uwa.. kayi kokari kar mutane su shaideka da rowa, rowa halin banza ne, kuma ba halin mutanen kirki bane.. allah ka rabamu da rowa..✍🏼",0,0,1,0,0
hau_b81d098630102aaefefdabdd797aebc4,@USER almajiri system is not a muslim practice please.,0,0,1,0,0
hau_bf19180cad09ff1961aaf7330be96b3c,@USER idan kace a kyale ahlussunnah a zabi arne kana da hujjar da zaka fadawa ubangiji amma ni bana da hujjar da zan fadawa ubangiji akan haka maganr nan da muke addini ne kuma wallahi allah sai y tambaye mu akan abunda muka fadawa mutane,0,0,1,0,0
hau_e7b98b504a119bae1f793d684b9496e5,"Ai raban matan Arewa na twitter, only one fraction one suke tweet dakansu.😂",0,0,0,1,0
hau_e7962ef88c4eb95f7c4d420d0aa6bb3e,yan wahala ahaka zaku kare. ##url,0,0,0,0,1
hau_6a05c301ef08655681742ed4defe4eea,"@USER abu mai sauki, ki je ki so inyamiri ko bayarbe mana.",0,1,0,0,0
hau_9dbcd51b19cc3f61da2842ad12f33417,i am inyamiri ##url,0,1,0,0,0
hau_d30aabb7ccab9c1672434dbacc41f67b,ko shi ya mutu yabar arna - ilu.,0,0,1,0,0
hau_f0e99974cdb0778ca004541d4d76e706,"shop our new range of mini bags exquisite finish ☑️ classic design ☑️ jákā by @USER n7,500 each ———- #luxurybags #affordableluxury #rigajaka #rigabags #rigaonlinne #rigaonline #abujavendor #abujabagstore @… ##url",0,0,0,0,0
hau_df42b25ddfa1e0571797216d1eff21dc,"@USER constitutes techncl comitee on remodeling almajiri system of education concernd by d plight of childrn begging &amp; roaming in d street under d guise of aitendng qur'anic schools as almajris,ganduje has constuted a powerfl technical comitee dt wld luk into d almajiri ##url",1,0,0,0,0
hau_8f2bf2489bd3515f45e8bdf8971d3ae9,gaskiya nasiru jahili ne @USER ##url,0,0,1,0,0
hau_7c2d96619b735a1fddd68b731de4e5ca,"@USER u only, marowaciya ameen",0,0,0,0,1
hau_dbf9f58467b676b65af87f6a323f3a49,"WATA ZABUWA KUMA , DARIQA GIDAN MAHAUKATA KENAN .",0,0,1,0,0
hau_1d223533fc365ae63d0a0eaeeb6ac87f,Wlh Gawuna Dan walaha ce,1,0,0,0,0
hau_ac46b49f3ae29e7f24ed49086a7d15f8,zan kashe arna fa ##url,0,0,1,0,0
